partner,host,class,socket,t_lat_s,t_lat_min_s,inv_bw_s_per_word,bw_GB_s,m2_words,m_eager_words,m_eager_bytes,m_eager_next_bytes,eager_score
84,ccc0393.campuscluster.illinois.edu,inter,0,2.661045e-06,2.6553995e-06,3.0049917285324782e-09,2.6622369452933206,198.66722122058763,1011,8088,8224,0.3976123482854679
85,ccc0393.campuscluster.illinois.edu,inter,1,2.7064205e-06,2.489766e-06,7.900438592012418e-10,10.12602010233741,416.22572336666894,1011,8088,8224,0.48026229389867986
86,ccc0393.campuscluster.illinois.edu,inter,0,2.5822355e-06,2.573865e-06,3.003637907813537e-09,2.6634368873788477,174.78295887829876,1011,8088,8224,0.3972359328947976
87,ccc0393.campuscluster.illinois.edu,inter,1,2.699553e-06,2.4889595e-06,7.911232346543853e-10,10.112204584024038,414.296507242649,1011,8088,8224,0.4802626527724255
88,ccc0393.campuscluster.illinois.edu,inter,0,2.666175e-06,2.660965e-06,2.9965969548745493e-09,2.6696950308871004,199.9004483790616,1011,8088,8224,0.40002564021986503
89,ccc0393.campuscluster.illinois.edu,inter,1,2.693321e-06,2.4789205e-06,7.892690473515986e-10,10.135960642120823,407.95392474493764,1011,8088,8224,0.477487014363455
90,ccc0393.campuscluster.illinois.edu,inter,0,2.6549235e-06,2.65313e-06,2.995502261888958e-09,2.6706706590684446,192.5866185831932,1011,8088,8224,0.3943601586606917
91,ccc0393.campuscluster.illinois.edu,inter,1,2.706541e-06,2.4922055e-06,7.901385726102097e-10,10.124806302737673,418.6456502644549,1011,8088,8224,0.47091756188583805
92,ccc0393.campuscluster.illinois.edu,inter,0,2.657383e-06,2.652374e-06,3.012357929886548e-09,2.6557269043726484,195.53797065473765,1011,8088,8224,0.395351996992094
93,ccc0393.campuscluster.illinois.edu,inter,1,2.689439e-06,2.486936e-06,7.900747495583445e-10,10.12562419501704,411.60926524780905,1011,8088,8224,0.47666078591196076
94,ccc0393.campuscluster.illinois.edu,inter,0,2.6606345e-06,2.6606345e-06,2.9962436711487384e-09,2.670009811629525,196.42047428631872,1011,8088,8224,0.39422755874077897
95,ccc0393.campuscluster.illinois.edu,inter,1,2.4889095e-06,2.4736305e-06,7.902205214088045e-10,10.12375632277634,301.28954670305376,1011,8088,8224,0.48455200826805245
96,ccc0393.campuscluster.illinois.edu,inter,0,2.657328e-06,2.655329e-06,2.9991212842219205e-09,2.6674479762079666,193.42377093067972,1011,8088,8224,0.39261129205601436
97,ccc0393.campuscluster.illinois.edu,inter,1,2.6787535e-06,2.476646e-06,7.909570394273286e-10,10.11432935193571,406.0073814809795,1011,8088,8224,0.4822499471623704
98,ccc0393.campuscluster.illinois.edu,inter,0,2.656807e-06,2.656807e-06,3.0162302020893115e-09,2.6523174505906355,153.92892686171052,1011,8088,8224,0.4001897762445748
99,ccc0393.campuscluster.illinois.edu,inter,1,2.6966575e-06,2.485383e-06,7.901130433894635e-10,10.125133443793347,409.9374188673248,1011,8088,8224,0.47597075712916176
100,ccc0393.campuscluster.illinois.edu,inter,0,2.6009515e-06,2.580187e-06,2.9985850867363878e-09,2.667924960804455,179.14991784964235,1011,8088,8224,0.40027577692225813
101,ccc0393.campuscluster.illinois.edu,inter,1,2.6859775e-06,2.494074e-06,7.921617633543353e-10,10.098947424733987,406.21677879920315,1011,8088,8224,0.4819776477059726
102,ccc0393.campuscluster.illinois.edu,inter,0,2.667197e-06,2.649448e-06,2.9969548745494095e-09,2.6693761951296633,197.89052047120248,1011,8088,8224,0.40047812038047553
103,ccc0393.campuscluster.illinois.edu,inter,1,2.711636e-06,2.491965e-06,7.897163192990697e-10,10.13021993403983,415.25582336759226,1011,8088,8224,0.4747476049369645
104,ccc0393.campuscluster.illinois.edu,inter,0,2.669616e-06,2.656742e-06,2.99422324792958e-09,2.671811464135739,197.87064848541502,1011,8088,8224,0.39676970764972236
105,ccc0393.campuscluster.illinois.edu,inter,1,2.6844595e-06,2.4900915e-06,7.899267795042918e-10,10.127520939371488,401.48158901058076,1011,8088,8224,0.4800403524561045
106,ccc0393.campuscluster.illinois.edu,inter,0,2.653596e-06,2.653596e-06,3.006973817231203e-09,2.6604820947082057,195.48654311650867,1011,8088,8224,0.40245550476386527
107,ccc0393.campuscluster.illinois.edu,inter,1,2.690686e-06,2.4811295e-06,7.901207021556874e-10,10.125035299256922,404.55546037184,1011,8088,8224,0.4758062206195641
108,ccc0393.campuscluster.illinois.edu,inter,0,2.665829e-06,2.654753e-06,3.0076411510615053e-09,2.659891788345997,196.45265988459803,1011,8088,8224,0.39658615124368973
109,ccc0393.campuscluster.illinois.edu,inter,1,2.694243e-06,2.4826575e-06,7.911311487128167e-10,10.112103426866875,410.09766742715937,1011,8088,8224,0.4729448304686517
110,ccc0393.campuscluster.illinois.edu,inter,0,2.654698e-06,2.654698e-06,2.9935993137745464e-09,2.672368330387216,192.41489589926755,1011,8088,8224,0.4028908993345782
111,ccc0393.campuscluster.illinois.edu,inter,1,2.6955955e-06,2.4885435e-06,7.921847396530069e-10,10.098654517763324,412.07395212403054,1011,8088,8224,0.4763479526147539
